time,ax,ay,az,atotal
0.005869865417480469,0.63,0.02,-0.03,0.63
0.009508132934570312,0.53,0.15,-0.12,0.56
0.019263029098510742,0.36,0.18,-0.01,0.4
0.029376983642578125,0.19,0.21,-0.03,0.28
0.03939700126647949,0.12,0.27,-0.05,0.29
0.049494028091430664,0.12,0.28,0.09,0.31
0.059519052505493164,0.12,0.23,0.25,0.36
0.06964898109436035,0.12,0.23,0.39,0.46
0.07956790924072266,0.1,0.19,0.57,0.6
0.08965897560119629,0.11,0.14,0.67,0.69
0.09978008270263672,0.15,0.12,0.68,0.7
0.10981988906860352,0.18,0.09,0.7,0.72
0.11984801292419434,0.25,0.09,0.65,0.7
0.1298999786376953,0.3,0.1,0.59,0.66
0.13999700546264648,0.32,0.1,0.52,0.61
0.15013790130615234,0.33,0.04,0.47,0.57
0.16012287139892578,0.27,0.01,0.41,0.49
0.17021417617797852,0.17,0.04,0.28,0.33
0.18019819259643555,0.11,0.05,0.24,0.26
0.1902940273284912,0.07,0.05,0.19,0.2
0.20050811767578125,0.04,0.07,0.1,0.12
0.2104811668395996,0.06,0.1,0.03,0.12
0.22046613693237305,0.07,0.07,-0.01,0.09
0.23040008544921875,0.07,0.11,-0.04,0.13
0.24067115783691406,0.09,0.15,-0.05,0.18
0.25070905685424805,0.13,0.15,0.01,0.19
0.26120615005493164,0.12,0.17,-0.05,0.21
0.27088403701782227,0.1,0.19,-0.13,0.25
0.28130102157592773,0.07,0.18,-0.15,0.24
0.29160404205322266,0.04,0.2,-0.17,0.26
0.30191802978515625,0.01,0.19,-0.17,0.25
0.3118550777435303,-0.03,0.11,-0.11,0.15
0.3224358558654785,-0.11,0.09,-0.08,0.16
0.33194494247436523,-0.21,0.09,-0.05,0.23
0.34226202964782715,-0.28,0.09,-0.04,0.29
0.35216498374938965,-0.31,0.06,-0.03,0.31
0.36223411560058594,-0.29,0.06,-0.01,0.29
0.37223005294799805,-0.22,0.05,0.01,0.22
0.3825058937072754,-0.21,0.02,0.0,0.21
0.39232802391052246,-0.22,0.01,0.01,0.22
0.40252208709716797,-0.24,-0.06,0.09,0.26
0.4125239849090576,-0.29,-0.1,0.13,0.33
0.42258691787719727,-0.33,-0.14,0.19,0.4
0.4326820373535156,-0.33,-0.14,0.28,0.45
0.44266796112060547,-0.34,-0.15,0.38,0.53
0.45279788970947266,-0.27,-0.11,0.46,0.54
0.46282505989074707,-0.17,-0.07,0.49,0.52
0.47295498847961426,-0.07,-0.05,0.46,0.46
0.483051061630249,0.01,-0.07,0.47,0.47
0.49292516708374023,0.09,-0.1,0.46,0.47
0.5030620098114014,0.11,-0.07,0.44,0.45
0.5131101608276367,0.05,-0.06,0.39,0.39
0.5231399536132812,0.0,-0.05,0.35,0.35
0.53336501121521,-0.02,-0.04,0.29,0.29
0.5432491302490234,-0.03,-0.01,0.26,0.26
0.5533108711242676,-0.04,0.01,0.24,0.24
0.5634629726409912,-0.01,0.05,0.2,0.2
0.5736050605773926,0.03,0.08,0.15,0.17
0.5837299823760986,0.07,0.13,0.13,0.19
0.5935909748077393,0.13,0.19,0.14,0.26
0.6036949157714844,0.18,0.22,0.16,0.32
0.6140720844268799,0.22,0.22,0.18,0.35
0.6237521171569824,0.25,0.21,0.24,0.4
0.6339221000671387,0.23,0.22,0.26,0.41
0.64388108253479,0.2,0.23,0.23,0.38
0.6540699005126953,0.19,0.22,0.18,0.34
0.6639871597290039,0.19,0.21,0.06,0.28
0.6743168830871582,0.18,0.21,-0.05,0.28
0.6841950416564941,0.19,0.2,-0.05,0.28
0.6941850185394287,0.21,0.13,-0.1,0.26
0.704179048538208,0.17,0.09,-0.11,0.22
0.7143101692199707,0.09,0.1,-0.09,0.16
0.7244000434875488,0.02,0.1,-0.12,0.15
0.7345118522644043,-0.01,0.13,-0.13,0.18
0.7444210052490234,-0.04,0.12,-0.16,0.2
0.7545051574707031,-0.02,0.03,-0.11,0.11
0.764585018157959,0.0,-0.01,-0.03,0.03
0.7755720615386963,0.01,-0.01,-0.04,0.04
0.7847719192504883,0.0,-0.02,-0.02,0.02
0.7947769165039062,-0.07,0.0,-0.02,0.07
0.8048758506774902,-0.11,0.02,-0.05,0.12
0.8149540424346924,-0.1,0.02,-0.09,0.13
0.8251380920410156,-0.08,-0.02,-0.09,0.12
0.8349840641021729,-0.11,0.01,-0.12,0.16
0.8450620174407959,-0.19,0.04,-0.12,0.22
0.8551790714263916,-0.21,0.01,-0.02,0.21
0.8651618957519531,-0.2,-0.02,0.08,0.21
0.8752532005310059,-0.19,-0.04,0.14,0.23
0.885444164276123,-0.19,-0.08,0.19,0.28
0.8953900337219238,-0.2,-0.14,0.28,0.37
0.9057779312133789,-0.25,-0.18,0.33,0.45
0.9154839515686035,-0.3,-0.2,0.35,0.5
0.9255170822143555,-0.31,-0.18,0.41,0.54
0.9355790615081787,-0.27,-0.19,0.47,0.57
0.9456892013549805,-0.23,-0.22,0.52,0.6
0.9556779861450195,-0.24,-0.21,0.52,0.61
0.9661149978637695,-0.25,-0.17,0.49,0.57
0.9757750034332275,-0.24,-0.17,0.44,0.52
0.9858889579772949,-0.27,-0.21,0.44,0.55
0.9960520267486572,-0.26,-0.15,0.54,0.61
1.0061440467834473,-0.12,-0.05,0.52,0.53
1.016343116760254,0.06,-0.12,0.5,0.51
1.0266389846801758,0.12,-0.18,0.43,0.48
1.0364089012145996,0.06,-0.09,0.37,0.38
1.0465540885925293,-0.03,0.04,0.26,0.26
1.0565671920776367,-0.06,0.06,0.15,0.17
1.0666210651397705,-0.01,0.12,0.13,0.17
1.0767278671264648,0.09,0.15,0.0,0.17
1.0870308876037598,0.12,0.14,-0.03,0.18
1.0966479778289795,0.05,0.12,-0.07,0.14
1.1065521240234375,0.09,0.21,-0.18,0.29
1.1169381141662598,0.11,0.23,-0.11,0.27
1.1267890930175781,0.03,0.24,-0.02,0.24
1.136789083480835,0.07,0.25,-0.17,0.31
1.1468570232391357,0.17,0.29,-0.56,0.65
1.1569890975952148,0.28,0.34,-1.07,1.15
1.167245864868164,0.39,0.24,-1.33,1.4
1.177051067352295,0.35,0.06,-1.35,1.39
1.1871509552001953,0.17,-0.13,-1.08,1.1
1.1972088813781738,-0.03,-0.18,-0.83,0.84
1.2075161933898926,-0.13,-0.13,-0.69,0.71
1.2175168991088867,-0.14,-0.16,-0.56,0.59
1.2274770736694336,-0.07,-0.17,-0.53,0.56
1.2375140190124512,0.16,-0.13,-0.34,0.39
1.2474589347839355,0.47,-0.1,-0.1,0.49
1.2575740814208984,0.75,-0.16,0.28,0.81
1.267758846282959,0.76,-0.28,0.64,1.03
1.2776861190795898,0.5,-0.33,0.88,1.06
1.290112018585205,0.02,-0.43,1.32,1.38
1.2975220680236816,-0.2,-0.32,2.37,2.39
1.3074951171875,0.07,0.0,2.07,2.07
1.31756591796875,0.62,-0.2,2.22,2.31
1.327868938446045,0.97,-0.27,2.16,2.38
1.3376469612121582,1.06,-0.14,1.72,2.02
1.3476881980895996,0.9,-0.13,1.22,1.52
1.358008861541748,0.37,-0.63,0.89,1.15
1.3680880069732666,0.22,-0.64,0.89,1.11
1.3773000240325928,0.38,-0.11,0.86,0.94
1.3877811431884766,0.45,-0.12,0.7,0.84
1.3974790573120117,0.41,-0.42,0.34,0.67
1.4075498580932617,0.35,-1.04,0.15,1.1
1.4174320697784424,0.25,-1.81,0.1,1.82
1.4277780055999756,0.51,-2.3,-0.05,2.35
1.4383389949798584,1.2,-2.49,-0.61,2.83
1.4486000537872314,1.99,-2.21,-1.48,3.32
1.4583930969238281,2.1,-1.32,0.14,2.48
1.4683098793029785,1.99,-0.6,-0.92,2.27
1.4784021377563477,1.43,-0.43,-1.39,2.04
1.4884190559387207,0.85,-0.29,-1.94,2.13
1.4989218711853027,0.18,-0.12,-2.31,2.32
1.50968599319458,-0.58,-0.14,-2.03,2.11
1.519132137298584,-1.14,-0.12,-1.74,2.08
1.5291829109191895,-1.25,-0.3,-1.31,1.83
1.5392341613769531,-0.96,-0.44,-1.1,1.52
1.549226999282837,-0.87,-0.32,-1.06,1.4
1.5596919059753418,-1.31,0.03,-0.65,1.46
1.5693459510803223,-1.93,0.64,0.02,2.03
1.5793471336364746,-2.19,1.13,0.5,2.51
1.5895881652832031,-1.9,1.21,0.7,2.35
1.5986390113830566,-1.31,1.14,1.05,2.02
1.6086790561676025,-0.58,1.0,1.39,1.8
1.6188669204711914,0.07,0.71,0.92,1.16
1.6288971900939941,0.51,0.55,0.13,0.76
1.6389851570129395,0.65,0.49,-0.6,1.01
1.6489670276641846,0.71,0.7,-1.03,1.43
1.6590890884399414,0.62,1.04,-1.17,1.68
1.6691040992736816,0.55,1.03,-1.1,1.6
1.6790509223937988,0.65,0.73,-0.72,1.21
1.6894831657409668,0.78,0.31,-0.34,0.9
1.6996610164642334,1.11,-0.04,-0.19,1.12
1.709963083267212,1.76,-0.17,-0.42,1.81
1.720546007156372,2.22,-0.11,-0.6,2.3
1.7304348945617676,1.65,0.11,-0.44,1.71
1.7406330108642578,0.32,0.25,0.03,0.4
1.751039981842041,-0.75,0.34,0.57,1.0
1.7605719566345215,-1.19,0.51,0.72,1.48
1.7707619667053223,-1.13,0.35,0.57,1.31
1.7808220386505127,-1.01,0.04,0.37,1.07
1.791849136352539,-0.7,-0.32,0.14,0.78
1.8010690212249756,-0.77,-0.4,0.0,0.86
1.8110020160675049,-1.09,-0.56,0.18,1.23
1.8210530281066895,-1.13,-0.73,-0.04,1.34
1.8310961723327637,-0.59,-0.98,-0.68,1.33
1.8411290645599365,0.28,-0.97,-1.58,1.87
1.8515501022338867,1.01,-1.04,-2.29,2.71
1.860605001449585,1.7,-0.9,-3.22,3.75
1.8709988594055176,2.47,-0.56,-4.18,4.88
1.881350040435791,2.53,-0.19,-4.48,5.14
1.8916411399841309,2.06,0.02,-4.12,4.6
1.9015779495239258,1.32,0.24,-3.6,3.84
1.9115099906921387,0.88,0.02,-2.92,3.04
1.9216060638427734,0.7,-0.47,-2.46,2.6
1.9316270351409912,0.47,-0.57,-2.04,2.16
1.9420199394226074,0.43,-0.37,-1.63,1.72
1.9520111083984375,0.49,-0.17,-2.03,2.09
1.961963176727295,0.51,-0.37,-2.7,2.77
1.9721121788024902,0.26,-0.68,-3.61,3.68
1.9822630882263184,-0.99,-0.92,-4.2,4.41
1.9918551445007324,-2.04,-1.19,-3.84,4.5
2.002077102661133,-2.18,-1.48,-2.47,3.61
2.0120370388031006,-1.78,-1.49,-2.58,3.47
2.0222320556640625,-1.18,-2.18,-4.35,5.0
2.0322110652923584,-1.6,-3.44,-4.45,5.84
2.042356014251709,-0.99,-4.41,-4.43,6.32
2.0523340702056885,-0.55,-4.42,-3.78,5.84
2.0624451637268066,-0.41,-3.94,-3.42,5.23
2.072664976119995,-0.33,-3.8,-3.41,5.11
2.0826380252838135,-0.62,-3.69,-2.47,4.48
2.0926730632781982,-0.99,-2.69,-1.73,3.34
2.1026430130004883,-0.52,-1.12,-1.88,2.24
2.1127829551696777,1.28,-0.79,-0.52,1.59
2.1228089332580566,3.96,-1.61,2.49,4.94
2.132850170135498,5.97,-2.17,5.42,8.35
2.1428730487823486,6.77,-1.77,6.61,9.62
2.153088092803955,6.25,-0.63,6.79,9.25
2.1630520820617676,4.82,0.09,6.32,7.94
2.1730799674987793,3.39,0.73,6.1,7.01
2.1830999851226807,2.73,1.2,6.61,7.25
2.1932380199432373,2.95,1.19,7.32,7.98
2.2051000595092773,3.57,1.08,7.46,8.34
2.2128138542175293,3.94,1.29,6.59,7.78
2.2229580879211426,4.02,1.58,4.98,6.59
2.2330079078674316,4.17,1.64,3.37,5.6
2.2430081367492676,3.93,1.62,2.23,4.8
2.2530879974365234,3.17,1.96,1.36,3.96
2.2631289958953857,2.44,2.17,0.89,3.38
2.273305892944336,2.0,2.12,0.66,2.98
2.283285140991211,1.58,2.08,0.33,2.63
2.293330192565918,1.23,2.01,0.18,2.36
2.303328037261963,0.99,1.82,0.32,2.09
2.3132760524749756,0.84,1.79,0.42,2.02
2.323479175567627,0.93,1.64,0.35,1.91
2.333487033843994,1.03,1.36,0.35,1.74
2.3435049057006836,0.78,1.31,0.35,1.56
2.3536970615386963,0.44,1.24,0.19,1.32
2.3637590408325195,0.12,1.13,0.14,1.14
2.3735928535461426,-0.08,1.08,0.35,1.13
2.3836488723754883,0.02,1.04,0.61,1.2
2.3937180042266846,0.21,0.9,0.91,1.29
2.4039831161499023,0.34,0.79,1.24,1.5
2.4145870208740234,0.33,0.8,1.39,1.63
2.424583911895752,0.13,0.86,1.34,1.59
2.4348349571228027,-0.05,0.86,1.1,1.39
2.4446868896484375,-0.08,0.85,0.9,1.24
2.4550540447235107,0.05,0.81,0.72,1.08
2.464766025543213,0.15,0.77,0.62,0.99
2.474864959716797,0.26,0.81,0.7,1.1
2.4850821495056152,0.4,0.85,0.8,1.23
2.4949610233306885,0.49,0.81,0.81,1.24
2.5050811767578125,0.51,0.78,0.84,1.25
2.515456199645996,0.46,0.77,0.77,1.18
2.5252108573913574,0.37,0.72,0.65,1.03
2.535396099090576,0.26,0.74,0.6,0.98
2.545274019241333,0.2,0.77,0.57,0.97
2.5553510189056396,0.33,0.75,0.64,1.03
2.5657010078430176,0.46,0.72,0.77,1.15
2.575838088989258,0.34,0.68,0.6,0.96
2.585564136505127,0.19,0.7,0.22,0.75
2.5978331565856934,0.08,0.64,-0.02,0.64
2.6052820682525635,-0.04,0.57,-0.02,0.57
2.615407943725586,-0.07,0.56,0.13,0.57
2.626239061355591,-0.05,0.51,0.33,0.6
2.635354995727539,0.0,0.5,0.52,0.72
2.646038055419922,0.07,0.46,0.65,0.79
2.6556620597839355,0.15,0.43,0.73,0.86
2.6656270027160645,0.21,0.39,0.7,0.82
2.67673397064209,0.29,0.35,0.76,0.88
2.6856210231781006,0.48,0.24,0.61,0.81
2.6960320472717285,0.38,0.1,0.14,0.41
2.705878973007202,0.0,0.14,-0.39,0.41
2.7159390449523926,-0.41,0.29,-0.9,1.03
2.725969076156616,-0.69,0.33,-0.94,1.21
2.7359960079193115,-0.63,0.23,-0.61,0.9
2.7460899353027344,-0.27,0.18,-0.19,0.37
2.7564079761505127,0.08,-0.03,0.21,0.22
2.7662200927734375,0.09,-0.16,0.51,0.54
2.776276111602783,-0.09,-0.14,0.5,0.52
2.78635311126709,-0.28,-0.14,0.31,0.44
2.7964439392089844,-0.4,-0.21,0.27,0.52
2.8078999519348145,-0.36,-0.18,0.32,0.51
2.8174290657043457,-0.22,-0.17,0.26,0.38
2.8273820877075195,-0.09,-0.17,0.14,0.23
2.8372230529785156,-0.13,-0.16,0.07,0.21
2.847414016723633,-0.2,-0.13,0.11,0.26
2.8573989868164062,-0.26,-0.19,0.14,0.35
2.867279052734375,-0.3,-0.23,0.13,0.39
2.8773159980773926,-0.37,-0.23,0.04,0.43
2.8873491287231445,-0.37,-0.18,-0.01,0.41
2.8972949981689453,-0.15,-0.14,-0.01,0.2
2.9074878692626953,0.0,-0.19,-0.01,0.19
2.9175891876220703,-0.01,-0.16,-0.08,0.17
2.9275989532470703,-0.03,-0.11,-0.19,0.22
2.9377260208129883,0.04,-0.11,-0.17,0.2
2.94781494140625,0.01,-0.1,-0.16,0.18
2.957634925842285,-0.09,-0.09,-0.19,0.22
2.967978000640869,-0.16,-0.07,-0.14,0.22
2.977886199951172,-0.16,-0.06,-0.12,0.2
2.9879279136657715,-0.1,-0.11,-0.08,0.16
2.9979820251464844,0.04,-0.13,-0.02,0.13
3.0080161094665527,0.06,-0.15,-0.01,0.16
3.0182690620422363,-0.02,-0.15,-0.01,0.15
3.02816104888916,0.02,-0.13,0.0,0.13
3.038301944732666,0.13,-0.14,0.01,0.19
3.048652172088623,0.17,-0.1,0.04,0.2
3.0583510398864746,0.23,0.01,0.0,0.23
3.0685360431671143,0.29,0.1,-0.23,0.38
3.0784969329833984,0.22,0.14,-0.34,0.42
3.088463068008423,0.21,0.18,-0.34,0.43
3.0986509323120117,0.13,0.22,-0.17,0.3
3.108579158782959,0.13,0.34,0.14,0.39
3.118828058242798,0.25,0.4,0.47,0.66
3.128826141357422,0.22,0.46,0.81,0.95
3.138843059539795,0.27,0.5,0.95,1.1
3.1489100456237793,0.39,0.42,0.89,1.05
3.1589419841766357,0.42,0.39,0.6,0.82
3.1690540313720703,0.36,0.4,0.37,0.65
3.179081916809082,0.28,0.46,0.24,0.58
3.18912410736084,0.33,0.51,0.4,0.72
3.1991779804229736,0.39,0.59,0.55,0.89
3.209238052368164,0.36,0.66,0.74,1.05
3.219377040863037,0.33,0.68,0.93,1.19
3.2291200160980225,0.29,0.67,0.95,1.19
3.2388710975646973,0.26,0.58,0.9,1.1
3.24949312210083,0.26,0.42,0.78,0.92
3.259511947631836,0.24,0.35,0.63,0.75
3.269619941711426,0.21,0.3,0.64,0.73
3.279715061187744,0.2,0.21,0.71,0.76
3.289797067642212,0.13,0.15,0.69,0.71
3.2999110221862793,0.03,0.2,0.64,0.67
3.3099708557128906,-0.07,0.19,0.53,0.56
3.3199539184570312,-0.21,0.11,0.42,0.48
3.3299999237060547,-0.33,0.06,0.36,0.49
3.340005874633789,-0.42,-0.02,0.3,0.51
3.350226879119873,-0.52,-0.15,0.22,0.58
3.360257148742676,-0.56,-0.26,0.05,0.61
3.370370864868164,-0.56,-0.32,-0.1,0.65
3.3803091049194336,-0.56,-0.36,-0.15,0.68
3.3904380798339844,-0.61,-0.34,-0.36,0.78
3.4004268646240234,-0.7,-0.25,-0.61,0.96
3.412168025970459,-0.8,-0.2,-0.62,1.03
3.4206061363220215,-0.84,-0.2,-0.3,0.91
3.4306468963623047,-0.83,-0.19,0.01,0.85
3.4405970573425293,-0.78,-0.26,0.28,0.86
3.4507999420166016,-0.57,-0.36,0.48,0.82
3.4611401557922363,-0.29,-0.47,0.44,0.7
3.470940113067627,-0.06,-0.68,0.31,0.74
3.4810190200805664,-0.04,-0.83,0.49,0.96
3.490973949432373,-0.25,-0.63,0.63,0.92
3.5011820793151855,-0.39,-0.36,0.41,0.67
3.511092185974121,-0.5,-0.2,0.06,0.54
3.5215978622436523,-0.54,-0.32,-0.04,0.62
3.5312118530273438,-0.49,-0.5,-0.01,0.7
3.5412979125976562,-0.4,-0.58,0.01,0.7
3.5514590740203857,-0.33,-0.5,0.01,0.59
3.561431884765625,-0.27,-0.42,0.01,0.49
3.5713448524475098,-0.13,-0.37,-0.01,0.39
3.581800937652588,0.04,-0.32,-0.01,0.32
3.591538906097412,0.12,-0.37,0.05,0.39
3.6017589569091797,0.13,-0.41,0.0,0.43
3.6115808486938477,0.14,-0.32,-0.2,0.4
3.621671199798584,0.13,-0.25,-0.26,0.38
3.6316800117492676,0.13,-0.25,-0.18,0.33
3.641788959503174,0.24,-0.24,-0.11,0.35
3.652003049850464,0.32,-0.17,-0.02,0.36
3.6620030403137207,0.39,-0.09,0.04,0.4
3.6719141006469727,0.42,0.01,0.05,0.42
3.682042121887207,0.41,0.15,0.1,0.44
3.692016124725342,0.49,0.26,0.12,0.56
3.7023019790649414,0.55,0.24,0.07,0.6
3.7121028900146484,0.57,0.16,0.04,0.59
3.722309112548828,0.46,0.09,-0.04,0.47
3.732269048690796,0.22,0.06,-0.12,0.25
3.7424678802490234,0.03,0.02,-0.09,0.09
3.752542018890381,-0.14,0.07,0.02,0.15
3.762568950653076,-0.16,0.06,0.11,0.2
3.772657871246338,-0.07,-0.02,0.16,0.17
3.782683849334717,0.03,-0.07,0.2,0.21
3.7927069664001465,-0.05,-0.18,0.28,0.33
3.802788019180298,-0.16,-0.26,0.29,0.42
3.81290602684021,-0.22,-0.23,0.25,0.4
3.823355197906494,-0.26,-0.09,0.19,0.33
3.833144187927246,-0.28,0.02,0.11,0.3
3.843106985092163,-0.31,0.05,0.06,0.31
3.8530349731445312,-0.25,0.02,-0.05,0.25
3.863138198852539,-0.17,-0.04,-0.09,0.19
3.8732709884643555,-0.14,-0.07,-0.04,0.16
3.883389949798584,-0.18,-0.09,0.01,0.2
3.8933701515197754,-0.27,-0.1,0.09,0.3
3.903357982635498,-0.28,-0.08,0.24,0.37
3.91347599029541,-0.18,-0.05,0.35,0.39
3.923635959625244,0.0,-0.07,0.35,0.35
3.9340200424194336,0.12,-0.13,0.3,0.34
3.943639039993286,0.11,-0.15,0.23,0.29
3.9537429809570312,0.04,-0.13,0.2,0.24
3.963778018951416,0.05,-0.13,0.2,0.24
3.9739990234375,0.03,-0.13,0.27,0.3
3.9838690757751465,-0.16,-0.07,0.28,0.33
3.9944448471069336,-0.35,0.04,-0.2,0.4
4.003643989562988,-0.47,0.21,-1.45,1.53
4.013715982437134,-0.61,0.24,-0.5,0.82
4.023787021636963,-0.34,0.34,0.13,0.49
4.035365104675293,0.02,0.2,0.09,0.22
4.043827056884766,0.18,0.03,0.33,0.37
4.05391788482666,0.26,0.1,0.71,0.76
4.064090967178345,0.27,0.14,0.77,0.82
4.07397198677063,0.27,0.04,0.71,0.76
4.083992004394531,0.1,-0.04,0.42,0.43
4.094135999679565,-0.11,-0.03,0.13,0.17
4.1041810512542725,-0.22,0.06,-0.2,0.3
4.114291191101074,-0.23,0.14,-0.57,0.63
4.161578178405762,-0.21,0.18,-0.79,0.83
4.164635181427002,-0.15,0.21,-0.66,0.7
4.166359901428223,-0.06,0.22,-0.42,0.47
4.16869592666626,0.01,0.21,-0.25,0.32
4.170970916748047,0.12,0.09,-0.14,0.2
4.174054145812988,0.11,-0.03,-0.04,0.12
4.188745021820068,0.01,-0.05,0.12,0.13
4.194241046905518,-0.14,-0.06,0.17,0.22
4.2049641609191895,-0.23,-0.02,0.12,0.26
4.214418888092041,-0.25,0.03,0.0,0.25
4.248849868774414,-0.2,0.05,-0.03,0.2
4.250298023223877,-0.14,0.05,-0.02,0.15
4.251178026199341,-0.1,0.03,0.03,0.1
4.25666618347168,-0.02,0.04,0.1,0.1
4.264589071273804,0.03,0.02,0.12,0.12
4.274653911590576,0.02,0.02,0.12,0.12
4.284965991973877,0.03,0.03,0.12,0.12
4.295098066329956,0.03,0.05,0.08,0.09
4.30504298210144,0.03,0.05,0.06,0.08
4.315415859222412,0.03,0.02,0.02,0.04
4.355274200439453,0.0,0.02,-0.02,0.02
4.356925964355469,-0.04,0.02,-0.04,0.06
4.357773065567017,-0.08,0.01,-0.04,0.09
4.3739659786224365,-0.14,0.02,-0.04,0.14
4.375423908233643,-0.24,0.01,-0.05,0.24
4.388758182525635,-0.3,0.01,0.0,0.3
4.391000032424927,-0.25,-0.01,0.09,0.26
4.405009984970093,-0.18,-0.09,0.15,0.25
4.407497882843018,-0.1,-0.14,0.1,0.19
4.422206878662109,-0.06,-0.19,-0.04,0.2
4.448923110961914,-0.11,-0.23,-0.19,0.31
4.450646877288818,-0.2,-0.25,-0.3,0.43
4.451606035232544,-0.31,-0.27,-0.37,0.55
4.456632137298584,-0.36,-0.31,-0.44,0.64
4.465526103973389,-0.37,-0.38,-0.52,0.74
4.475990056991577,-0.41,-0.49,-0.56,0.84
4.486003875732422,-0.45,-0.57,-0.55,0.91
4.496363162994385,-0.58,-0.65,-0.51,1.0
4.5063371658325195,-0.78,-0.74,-0.49,1.18
4.5165040493011475,-0.98,-0.72,-0.45,1.29
4.557015895843506,-1.03,-0.65,-0.35,1.26
4.5587968826293945,-1.0,-0.63,-0.33,1.22
4.56017804145813,-0.87,-0.71,-0.39,1.18
4.573544025421143,-0.73,-0.83,-0.45,1.19
4.575067043304443,-0.67,-0.92,-0.6,1.28
4.588158130645752,-0.71,-0.91,-0.73,1.36
4.590539932250977,-0.81,-0.83,-0.77,1.39
4.6050028800964355,-0.76,-0.69,-0.67,1.22
4.607522964477539,-0.52,-0.53,-0.52,0.9
4.621737003326416,-0.22,-0.44,-0.45,0.66
4.6510090827941895,0.16,-0.33,-0.47,0.59
4.652436971664429,0.48,-0.18,-0.61,0.79
4.653393030166626,0.71,-0.02,-0.73,1.01
4.657040119171143,0.7,0.2,-0.78,1.06
4.6667640209198,0.51,0.45,-0.77,1.02
4.677043914794922,0.21,0.69,-0.78,1.06
4.687394142150879,-0.1,1.02,-0.76,1.27
4.697314023971558,-0.25,1.49,-0.66,1.64
4.707551956176758,-0.16,2.08,-0.49,2.14
4.717473983764648,0.15,2.73,-0.14,2.73
4.755823135375977,0.43,3.28,0.17,3.31
4.75791597366333,0.54,3.71,0.49,3.78
4.759354114532471,0.51,4.1,0.8,4.2
4.773769855499268,0.42,4.48,1.14,4.64
4.7753260135650635,0.44,4.74,1.53,5.0
4.78855299949646,0.5,4.81,1.91,5.19
4.790651082992554,0.49,4.77,2.16,5.25
4.804895877838135,0.51,4.71,2.4,5.31
4.808003902435303,0.64,4.71,2.73,5.48
4.821866035461426,0.84,4.78,2.95,5.67
4.849625110626221,1.13,4.89,3.04,5.86
4.851155996322632,1.55,5.02,3.09,6.09
4.852118015289307,1.84,5.15,3.05,6.26
4.858072996139526,2.05,5.29,2.99,6.41
4.868052959442139,2.3,5.47,3.01,6.65
4.878499984741211,2.67,5.63,3.0,6.91
4.88847017288208,3.15,5.83,2.89,7.22
4.898452997207642,3.63,6.14,2.95,7.71
4.908750057220459,3.77,6.3,3.0,7.93
4.918943881988525,3.4,6.24,2.73,7.61
4.95441198348999,2.73,6.0,2.32,6.98
4.955934047698975,2.03,5.7,2.03,6.38
4.956850051879883,1.41,5.43,1.91,5.92
4.974246978759766,1.0,5.14,1.83,5.54
4.975800037384033,0.88,4.79,1.71,5.16
4.988471984863281,1.06,4.41,1.63,4.81
4.990122079849243,1.48,3.99,1.6,4.54
5.005711078643799,2.25,3.51,1.6,4.46
5.009425163269043,2.87,2.94,1.5,4.37
5.021991968154907,3.07,2.29,1.28,4.03
5.0588719844818115,3.01,1.69,1.04,3.6
5.060394048690796,2.91,1.17,0.88,3.25
5.0613110065460205,2.74,0.6,0.73,2.89
5.073545932769775,2.51,0.04,0.6,2.58
5.07512092590332,2.25,-0.51,0.46,2.35
5.088603973388672,1.95,-0.92,0.32,2.17
5.091152191162109,1.62,-1.17,0.19,2.0
5.105144023895264,1.27,-1.4,0.13,1.89
5.1100029945373535,0.92,-1.62,0.05,1.86
5.122081995010376,0.64,-1.73,-0.08,1.84
5.1552839279174805,0.99,-1.82,-0.24,2.08
5.1567840576171875,0.66,-2.74,-0.13,2.82
5.157721042633057,-0.13,-3.73,0.09,3.73
5.174589157104492,0.2,-3.59,-0.02,3.59
5.176110029220581,0.2,-3.61,-0.17,3.61
5.189271926879883,-0.45,-4.17,-0.31,4.2
5.191766977310181,-0.95,-4.68,-0.48,4.79
5.205188989639282,-1.15,-4.94,-0.71,5.12
5.210495948791504,-1.29,-5.11,-0.87,5.34
5.222311973571777,-1.54,-5.37,-1.0,5.67
5.255589962005615,-1.83,-5.64,-1.21,6.05
5.2573840618133545,-2.07,-5.89,-1.45,6.4
5.25833797454834,-2.32,-6.15,-1.67,6.78
5.274590969085693,-2.49,-6.4,-1.85,7.11
5.276134014129639,-2.66,-6.64,-1.99,7.42
5.289280891418457,-2.83,-6.93,-2.12,7.77
5.291640996932983,-2.94,-7.28,-2.27,8.17
5.305263996124268,-3.0,-7.64,-2.47,8.57
5.31098198890686,-3.05,-8.01,-2.66,8.97
5.322256088256836,-3.15,-8.29,-2.73,9.27
5.354208946228027,-3.26,-8.47,-2.7,9.46
5.355722904205322,-3.33,-8.55,-2.59,9.53
5.356685161590576,-3.29,-8.55,-2.34,9.45
5.374660015106201,-3.13,-8.55,-2.17,9.35
5.376060962677002,-2.56,-8.73,-2.13,9.34
5.3894500732421875,-1.56,-9.27,-1.99,9.6
5.391872882843018,-0.51,-9.77,-1.85,9.95
5.4052629470825195,0.09,-9.9,-1.79,10.06
5.41207218170166,0.27,-9.57,-1.82,9.74
